Video ID,Title,Descrption,Published At
E0rPugR8s30,Rust 1.74.0,"Rust version 1.74.0 has just been released! In this latest update, Rust continues to solidify its position as a secure and efficient ...",2023-11-18T15:00:10Z
usJDUSrcwqI,The Rust Survival Guide,"Think Rust is hard? In this video, I'll guide you through the essential aspects of Rust programming. These topics often pose ...",2023-11-11T15:00:45Z
rWuzbdmP8rI,Microsoft just gave up C/C++ (use Rust!),Big news! Microsoft just decided to go full force on Rust! What does this mean for Rust developers like you and me?,2023-11-04T16:25:25Z
oPFUDVw48AY,Rust 1.73.0,The Rust team recently announced the release of version 1.73.0. What's new? Let's find out in this video. FREE Rust cheat sheet: ...,2023-10-15T16:00:38Z
t6eaP2AjdyA,Rust YouTubers Tier List,"There are a lot of Rust Youtubers out there, but which ones are worth watching? In this video, I am organizing all of the Rust ...",2023-10-10T18:15:00Z
sZaAP4AS0hc,The ultimate Rust IDE is here,"Let's take a look at the new Rust IDE by JetBrains. I'll compare it to the other editors and IDEs like VSCode, Fleet and the existing ...",2023-09-26T13:00:13Z
5qLMubxngoY,Rust 1.72.0,Rust version 1.72.0 has been released! This update comes with some new significant features and major improvements. I'll cover ...,2023-09-21T13:28:09Z
CpvzeyzgQdw,All Rust string types explained,Today we are diving into the surprisingly complicated world of strings. Not only will we learn about the fundamental data structures ...,2023-09-17T15:50:03Z
H8aHX-JkiZs,Rust 1.71.0,"I'm thrilled to bring you all the exciting details about the newest update from Rust, version 1.71.0. Rust continues to evolve and ...",2023-08-20T14:56:49Z
_gMzg77Qjm0,Deploy your Rust project in 20 minutes,Deployment shouldn't be difficult. In this video you'll be guided through deploying your Rust project using 3 popular deployment ...,2023-07-18T14:15:46Z
06CVZKbNvgE,Rust is easy... (we make it hard),"Rust is easy but understanding how everything works together is actually kind of hard, as hard as we've led ourselves to believe ...",2023-07-05T14:00:00Z
U4x9br8OXkg,Rust 1.70.0,"I'm thrilled to bring you all the exciting details about the newest update from Rust, version 1.70.0. Rust continues to evolve and ...",2023-06-21T14:00:31Z
784JWR4oxOI,All Rust features explained,"In today's video, we 're going over most important features of the Rust programming language. Whether you're a complete ...",2023-06-17T14:00:04Z
QEnuzwCWpgQ,Rust is being destroyed from the inside,"While Rust has earned a dedicated following, it's not without its fair share of controversies and problems. In this video I'll talk about ...",2023-06-05T14:30:09Z
EA19neOCeCo,Rust’s most wanted feature is coming!,Big news in the Rust community! The Rust team has just announced the upcoming stabilization and shipping of async functions in ...,2023-05-10T14:42:55Z
oXzDg_RnBQs,Rust is taking over Windows!,"In this video, we'll be discussing the latest news about Rust's integration into the Windows kernel. This is a significant ...",2023-05-01T16:15:49Z
PHEmHxrlxhU,Rust 1.69.0,"The latest version of Rust - 1.69.0 - has been released. Watch me talk briefly about what's new in the Rust 1.69 update, the ...",2023-04-21T15:53:24Z
J4slMaFWCcg,Should Rust be your first programming language?,"If your goal is to become a professional programmer, should you learn Rust as your first programming language? People were ...",2023-04-14T16:35:07Z
Tsb9IQ3e8F8,Why I switched from JS to Rust,Today I'm going to explain why I switching from JavaScript to Rust! FREE Rust Cheat Sheet: https://letsgetrusty.com/cheatsheet.,2023-03-31T14:00:30Z
qY9j4dRaMjU,Make iterators 10X better with itertools,Today we are learning about the itertools crate and how you can use it to make your iterators more powerful! FREE Rust Cheat ...,2023-03-24T13:24:38Z
Nzclc6MswaI,5 traits your Rust types must implement,"In this video we are discussing 5 Rust traits that your types should implement, especially if you are exposing your types as part of ...",2023-03-17T14:00:22Z
SCM4AoOh-sk,Rust 1.68.0,"Today we are talking about the new release of Rust, version 1.68.0! FREE Rust Cheat Sheet: https://letsgetrusty.com/cheatsheet.",2023-03-10T15:41:20Z
